System;Link;Star/Planet;Discovery;Spectral Type;Distance  [pc];a_Triple or Quadruple [au];a_Binary1 [au];a_Binary2 [au];Number of Planets;Number of Stars;m1 [m_sun];m2 [m_sun];m3  [m_sun];m4  [m_sun];Comments;Minimum Mass [M_J];Semi-major axis [au];Orbital Period [d];Eccentricity;Argument of Perihel [deg];Radius [R_J];Inclination [deg];Detection Method
HD 131399 Ab+BC;http://exoplanet.eu/catalog/hd_131399a_b/;0;2016;A1V / G / K;98.0;349.0;6.96;;1;3;1.82;0.96;0.6;;;;;;;;;;
HD 131399 b;http://exoplanet.eu/catalog/hd_131399a_b/;1;;;;;;;;;;;;;;4.0;80.0;;0.35;;;46.0;imaging
Kelt 4 Ab+BC;http://exoplanet.eu/catalog/kelt-4a_b/;0;2013;F / K / K;211.0;328.0;0.044;;1;3;1.2;0.65;0.65;;tidal circularization of the planet;;;;;;;;
Kelt 4 b;http://exoplanet.eu/catalog/kelt-4a_b/;1;;;;;;;;;;;;;;0.878;0.0432;2.99;0.03;300.0;;;radial velocity
HD 142245 Ab+BC;http://exoplanet.eu/catalog/hd_142245_a_b/;0;2011-2015;K0 / M1 / M1;109.5;274.0;4.0;;1;3;1.7;0.28;0.28;;;;;;;;;;
HD 142245 b;http://exoplanet.eu/catalog/hd_142245_a_b/;1;2011;;;;;;;;;;;;;1.9;2.77;1299.0;0.32;234.0;;;radial velocity
HD 65216 Ab+BC;http://exoplanet.eu/catalog/hd_65216_a_b/;0;2003;G5V / M7V / L2-L3;34.3;251.0;6.0;;2;3;0.92;0.089;0.078;;;;;;;;;;
HD 65216 b;http://exoplanet.eu/catalog/hd_65216_a_b/;1;2003;;;;;;;;;;;;;1.21;1.37;613.1;0.41;198.0;1.706;83.11;radial velocity
HD 65216 c;http://exoplanet.eu/catalog/hd_65216_a_c/;1;2011;;;;;;;;;;;;;2.03;5.75;5370.0;0.17;123.0;;;radial velocity
Gliese 667 Cb-g+AB;http://exoplanet.eu/catalog/gj_667_c_b/;0;2009;K5V / K3V / M1.5V  ;43.03;230.0;;;6;3;0.73;0.69;0.33;;;;;;;;;;
Gliese 667 b;http://exoplanet.eu/catalog/gj_667_c_b/;1;;;;;;;;;;;;;;0.0176;0.0505;7.2;0.13;5.7;;;radial velocity
Gliese 667 c;http://exoplanet.eu/catalog/gj_667_c_c/;1;;;;;;;;;;;;;;0.0119;0.125;28.14;0.02;292.0;;;radial velocity
Gliese 667 d;http://exoplanet.eu/catalog/gj_667_c_d/;1;;;;;;;;;;;;;;0.016;0.276;91.61;0.03;40.1;;;radial velocity
Gliese 667 e;http://exoplanet.eu/catalog/gj_667_c_e/;1;;;;;;;;;;;;;;0.0085;0.213;62.24;0.02;28.7;;;radial velocity
Gliese 667 f;http://exoplanet.eu/catalog/gj_667_c_f/;1;;;;;;;;;;;;;;0.0085;0.156;39.03;0.03;103;;;radial velocity
Gliese 667 g;http://exoplanet.eu/catalog/gj_667_c_g/;1;;;;;;;;;;;;;;0.0145;0.549;256.2;0.08;51.6;;;radial velocity
HD 185269 Ab+BC;http://exoplanet.eu/catalog/hd_185269_a_b/;0;2006-2019;G0IV / ;47.0;212.0;;;1;3;1.28;0.165;0.154;;;;;;;;;;
HD 185269 b;http://exoplanet.eu/catalog/hd_185269_a_b/;1;;;;;;;;;;;;;;0.940;0.077;6.838;0.30;173.0;;;radial velocity
HD 207832 AbB+C+D;http://exoplanet.eu/catalog/hd_207832_a_b/;0;2012;G5V / M6.5 / ? / ?;54.4;100.0;4.0;;2;4;0.95;0.1;0.1;;the most compact RV-planet hostingtriple system.  with the fourth star at 126000 au;;;;;;;;
HD 207832 b;http://exoplanet.eu/catalog/hd_207832_a_b/;1;;;;;;;;;;;;;;0.56;0.57;161.97;0.13;130.8;;;radial velocity
HD 207832 c;http://exoplanet.eu/catalog/hd_207832_a_c/;1;;;;;;;;;;;;;;0.73;2.112;1155.7;0.27;121.6;;;radial velocity
Kepler-444 Ab-f+BC;http://exoplanet.eu/catalog/kepler-444_b/;0;2015;K0V / M / M;36.0;36.7;0.3;;5;3;0.76;0.29;0.25;;very old system formed 11.2 Billion years ago. compact planetary system;;;;;;;;
Kepler-444 b;http://exoplanet.eu/catalog/kepler-444_b/;1;;;;;;;;;;;;;;;0.042;3.6;0.08;;0.034;88.0;transit
Kepler-444 c;http://exoplanet.eu/catalog/kepler-444_c/;1;;;;;;;;;;;;;;;0.048;4.55;0.12;;0.044;88.2;transit
Kepler-444 d;http://exoplanet.eu/catalog/kepler-444_d/;1;;;;;;;;;;;;;;;0.06;6.189;0.18;;0.0473;88.16;transit
Kepler-444 e;http://exoplanet.eu/catalog/kepler-444_e/;1;;;;;;;;;;;;;;;0.0696;7.743;0.02;;0.0476;89.13;transit
Kepler-444 f;http://exoplanet.eu/catalog/kepler-444_f/;1;;;;;;;;;;;;;;;0.0811;9.74;0.58;;0.606;87.96;transit
LTT 1445 Ab+BC/HIP 14101;http://exoplanet.eu/catalog/ltt_1445a_b/;0;2019;M2.5V / M3 / M;6.9;34.0;1.159;;1;3;0.275;0.215;0.161;;;;;;;;;;
LTT 1445 b;http://exoplanet.eu/catalog/ltt_1445a_b/;1;2019;;;;;;;;;;;;;0.0264;0.03807;5.35882;0.16;222.0;0.1204;89.74;transit
HW Virgins ABb+C;http://exoplanet.eu/catalog/hw_vir_%28ab%29_b/;0;2008;sdB+M / ?;181.0;4.69;0.004;;1;3;0.485;0.142;0.0186;;P1.2=0.116795d;;;;;;;;
HW Virgins b;http://exoplanet.eu/catalog/hw_vir_%28ab%29_b/;1;;;;;;;;;;;;;;14.3;4.69;4640.0;0.4;;;;pulsar timing
HD 126614 Ab+BC;http://www.openexoplanetcatalogue.com/planet/HD%20126614%20A%20b/;0;2010;K0 / MV /M4-M5;72.4;;;;1;3;1.145;0.324;0.16;;Star A high metallicity;;;;;;;;
HD 126614 b;http://www.openexoplanetcatalogue.com/planet/HD%20126614%20A%20b/;1;;;;;;;;;;;;;;0.38;2.35;1244.0;0.41;;;;radial velocity
HAT-P-8 Ab+BC;http://exoplanet.eu/catalog/hat-p-8_b/;0;2008;F / M5V / M6V;230.0;;;;1;3;1.192;0.22;0.18;;;;;;;;;;
HAT-P-8 b;http://exoplanet.eu/catalog/hat-p-8_b/;1;;;;;;;;;;;;;;1.275;0.0439;3.08;0.0;;;;transit
WASP12-Ab+BC;http://exoplanet.eu/catalog/wasp-12_b/;0;2008;G0 / M3V / M3V;427.0;;;;1;3;1.35;0.38;0.37;;;;;;;;;;
WASP12-b;http://exoplanet.eu/catalog/wasp-12_b/;1;;;;;;;;;;;;;;1.404;0.0229;1.09;0.0;;;86.0;transit
