System;Link;Star/Planet;Discovery;Spectral Type;Distance [pc];Mass Ratio;a_binary [au];e_sec;Number of Planets;Planet Motion Type;m1 [m_sun];m2  [m_sun];Comments;Minimum Mass [M_J];Semi-major axis [au];Orbital Period [d];Eccentricity;Argument of Perihelion [deg];Radius [R_J];Inclination [deg];Detection Method
HD 217786 Ab B;http://exoplanet.eu/catalog/hd_217786_b/;0;2010-2016;F8V / ;55.60;0.136;156.0;;1;S;1.02;0.16;2016 confirmed unknown companion;;;;;;;;
HD 217786 b;http://exoplanet.eu/catalog/hd_217786_b/;1;2010;;;;;;;;;;;13;2.38;1319.0;0.4;100.0;;;radial velocity
HD 195019 Ab B;http://exoplanet.eu/catalog/hd_195019_b/;0;1998;G3 IV-V / K3 ;37.36;0.397;153.0;;1;S;1.06;0.697;;;;;;;;;
HD 195019 b;http://exoplanet.eu/catalog/hd_195019_b/;1;1998;;;;;;;;;;;3.7;0.1388;18.2016;0.014;322.0;;;radial velocity
HD 142 Abc B;http://www.openexoplanetcatalogue.com/planet/HD%20142%20A%20b/;0;2001;G1IV / K5;20.60;0.330;138.0;;2;S;1.2;0.590;;;;;;;;;
HD 142 b;http://exoplanet.eu/catalog/hd_142_b/;1;2001;;;;;;;;;;;1.25;1.02;349.7;0.17;327.0;;;radial velocity
HD 142 c;http://exoplanet.eu/catalog/hd_142_c/;1;2012;;;;;;;;;;;5.3;6.8;6005;0.21;250.0;;;radial velocity
HD 114762 Ab B;http://exoplanet.eu/catalog/hd_114762_b/;0;1989;F9V / M9 (L1);39.46;0.141;132.0;;1;S;0.84;0.138;;;;;;;;;
HD 114762 b;http://exoplanet.eu/catalog/hd_114762_b/;1;1989;;;;;;;;;;;10.98;0.353;83.9151;0.3354;201.28;;;radial velocity
HD 195019 Ab B;http://exoplanet.eu/catalog/hd_195019_b/;0;1998;G3IV-V / ?;37.36;0.398;131.0;;1;S;1.06;0.7;;;;;;;;;
HD 195019 b;http://exoplanet.eu/catalog/hd_195019_b/;1;1998;;;;;;;;;;;3.7;0.1388;18.2016;0.014;322.0;;;radial velocity
HD 5278 Ab B / TOI-130;http://exoplanet.eu/catalog/hd_5278_b/;0;2021;? / ?;56.12;0.210;123.0;;2;S;1.126;0.30;;;;;;;;;
HD 5278 b;http://exoplanet.eu/catalog/hd_5278_b/;1;2021;;;;;;;;;;;0.0245;0.12;14.33902;0.08;134.5;0.2186;89.27;transit
HD 5278 c;http://exoplanet.eu/catalog/hd_5278_c/;1;2021;;;;;;;;;;;;0.2416;40.87;0.07;8.0;;;radial velocity
HD 197037 Ab B;http://exoplanet.eu/catalog/hd_197037_a_b/;0;2012;F7V / M;33.00;0.235;122.0;;1;S;1.11;0.34;;;;;;;;;
HD 197037 b;http://exoplanet.eu/catalog/hd_197037_a_b/;1;2012;;;;;;;;;;;0.79;2.07;1035.7;0.22;298.0;;;radial velocity
HIP 68648 Ab B / HD 122194;http://exoplanet.eu/catalog/hip_68468_b/;0;2016;G3V / G3;99.90;0.255;114.0;;2;S;1.05;0.36;;;;;;;;;
HIP 68648 b;http://exoplanet.eu/catalog/hip_68468_b/;1;2016;;;;;;;;;;;0.011;0.029743;1.8372;0.41;;;;radial velocity
HIP 68648 c;http://exoplanet.eu/catalog/hip_68468_c/;1;2016;;;;;;;;;;;0.094;0.665;194.0;0.04;;;;radial velocity
GJ 338 A Bb;http://exoplanet.eu/catalog/hd_79211_b/;0;2020;M0V / M0V;6.33;0.498;109.0;;1;S;0.591;0.596;;;;;;;;;
HD 79211 b (GJ 338 Bb);http://exoplanet.eu/catalog/hd_79211_b/;1;2020;;;;;;;;;;;0.03231;0.1410;24.4500;0.110;204.3;;;radial velocity
WASP-130 Ab B;http://exoplanet.eu/catalog/wasp-130_b/;0;2016;G6 / ?;180.00;0.224;108.0;;1;S;1.04;0.30;;;;;;;;;
WASP-130 Ab B;http://exoplanet.eu/catalog/wasp-130_b/;1;2016;;;;;;;;;;;1.23;0.1012;11.55098;0.0;;0.89;88.66;transit
WASP-2 Ab B;http://exoplanet.eu/catalog/wasp-2_b/;0;2006;K1V / M0;144.00;0.350;106.0;;1;S;0.89;0.48;;;;;;;;;
WASP-2 b;http://exoplanet.eu/catalog/wasp-2_b/;1;2006;;;;;;;;;;;0.847;0.0314;2.1522;0.0;;1.079;84.73;transit
HD 19994 Ab B   (GJ 128. 94 Ceti);http://exoplanet.eu/catalog/hd_19994_b/;0;2003;F8V / M3V;22.38;0.207;100.0;0.260;1;S;1.34;0.35;;;;;;;;;
HD 19994 b;http://exoplanet.eu/catalog/hd_19994_b/;1;2003;;;;;;;;;;;1.68;1.42;535.7;0.3;41.0;;;radial velocity
HD 177830 Abc B;http://exoplanet.eu/catalog/hd_177830_b/;0;1999 / 2010;K0IV / M2-5;97.00;0.137;97.0;;2;S;1.45;0.23;;;;;;;;;
HD 177830 b;http://exoplanet.eu/catalog/hd_177830_b/;1;1999;;;;;;;;;;;1.49;1.2218;406.6;0.001;85.0;;;radial velocity
HD 177830 c;http://exoplanet.eu/catalog/hd_177830_c/;1;2010;;;;;;;;;;;0.15;0.5137;110.9;0.35;110.0;;;radial velocity
HD 30856 Ab B;http://exoplanet.eu/catalog/hd_30856_a_b/;0;2011;K0III / ?;118.10;0.286;93.0;;1;S;1.35;0.54;;;;;;;;;
HD 30856 b;http://exoplanet.eu/catalog/hd_30856_a_b/;1;2011;;;;;;;;;;;1.80;2.0;912.0;0.24;;;;radial velocity
Gliese 15 AbcB;http://exoplanet.eu/catalog/gj_15a_b/;0;2014 / 2018;M2V / M3.5;3.60;0.283;93.0;0.530;2;S;0.38;0.15;update Pinamonti et al. 2018;;;;;;;;
Gliese 15 b;http://exoplanet.eu/catalog/gj_15a_b/;1;2014;;;;;;;;;;;0.017;0.072;11.44;0.27;;;;radial velocity
Gliese 15 c;http://exoplanet.eu/catalog/gj_15a_b/;1;2018;;;;;;;;;;;0.114;5.400;;;60.00;;;radial velocity
TOI-1634 Ab B;http://exoplanet.eu/catalog/toi-1634_b/;0;2021;M2 / ;35.27;0.207;88.0;;1;S;0.46;0.12;;;;;;;;;
TOI-1634 b;http://exoplanet.eu/catalog/toi-1634_b/;1;2021;;;;;;;;;;;0.01545;0.01545;0.98934;0.16;;0.1597;88.2;transit
Kepler 21 Ab B / HD 179070;http://exoplanet.eu/catalog/kepler-21_b/;0;2012;F6IV / ?;108.86;0.238;86.7;;1;S;1.41;0.44;;;;;;;;;
Kepler 21 b;http://exoplanet.eu/catalog/kepler-21_b/;1;2012;;;;;;;;;;;0.01598;0.042717;2.78578;0.02;-15.0;0.146;83.200;transit
Kepler-296 AB b-f;http://exoplanet.eu/catalog/kepler-296_b/;0;2014;K7V / M2V ;519.00;0.398;80.0;;5;S;0.5;0.33;;;;;;;;;
Kepler-296 b;http://exoplanet.eu/catalog/kepler-296_b/;1;2014;;;;;;;;;;;;0.039;3.621;;;0.084;;transit
Kepler-296 c;http://exoplanet.eu/catalog/kepler-296_c/;1;2014;;;;;;;;;;;;0.054;5.842;;;0.192;;transit
Kepler 296 d;http://exoplanet.eu/catalog/kepler-296_d/;1;2014;;;;;;;;;;;;0.122;19.85;;;0.203;;transit
Kepler-296 e;http://exoplanet.eu/catalog/kepler-296_e/;1;2014;;;;;;;;;;;;0.174;34.142;;;0.156;;transit
Kepler-296 f;http://exoplanet.eu/catalog/kepler-296_f/;1;2014;;;;;;;;;;;;0.263;63.336;;;0.16;;transit
GJ 3021 Ab B;http://exoplanet.eu/catalog/gj_3021_b/;0;2000;G6V / M4V;17.62;0.126;68.0;;1;S;0.9;0.13;;;;;;;;;
GJ 3021 b;http://exoplanet.eu/catalog/gj_3021_b/;1;2000;;;;;;;;;;;3.37;0.49;133.71;0.511;290.7;;;radial velocity
WASP-20 Ab B;http://exoplanet.eu/catalog/wasp-20_b/;0;2011;F9V / G;210.0;;60.0;;1;S;1.202;;confirmed 2016;;;;;;;;
WASP-20 b;http://exoplanet.eu/catalog/wasp-20_b/;1;2011;;;;;;;;;;;0.313;0.06;4.8996;0.0;;1.459;85.570;transit
K2-288 A Bb;https://iopscience.iop.org/article/10.3847/1538-3881/aafa70;0;2018;M2V / M3V;69.30;0.388;54.8;;1;S;0.52;0.33;;;;;;;;;
K2-288 b;http://exoplanet.eu/catalog/k2-288b_b/;1;2018;;;;;;;;;;;0.009;0.164;31.3900;;;0.152;89.81;transit
OGLE-2008-BLG-092L;http://exoplanet.eu/catalog/ogle-2008-blg-092l_b/;0;2014;? / ?;7000.0;0.171;54.0;;1;S;0.58;0.12;;;;;;;;;
OGLE-2008-BLG-092L;http://exoplanet.eu/catalog/ogle-2008-blg-092l_b/;1;2014;;;;;;;;;;;0.137;18.0;;;;;;microlensing
t Boot Ab B (HD120136);http://exoplanet.eu/catalog/tau_boo_b/;0;1996;F7V / M2;15.00;0.222;45.0;0.910;1;S;1.4;0.40;;;;;;;;;
t Boot b;http://exoplanet.eu/catalog/tau_boo_b/;1;1996;;;;;;;;;;;4.13;0.046;3.3135;0.0787;218.4;1.06;45.0;radial velocity
Kepler-449 Abc B / KOI 270;http://exoplanet.eu/catalog/kepler-449_b/;0;2015;? / ?;279.00;0.478;43.0;;2;S;0.84;0.77;;;;;;;;;
Kepler-449 b;http://exoplanet.eu/catalog/kepler-449_b/;1;2015;;;;;;;;;;;;0.105;12.5842;0.03;;0.183;;transit
Kepler-449 c;http://exoplanet.eu/catalog/kepler-449_c/;1;2015;;;;;;;;;;;;0.202;33.6727;0.05;;0.247;;transit
WASP-11 Ab B/HAT-P-10 b;http://exoplanet.eu/catalog/wasp-11-hat-p-10_b/;0;2008;K3V / ?;125.00;0.293;42.0;;1;S;0.82;0.34;;;;;;;;;
WASP-11 b / HAT-P-10 b;http://exoplanet.eu/catalog/wasp-11-hat-p-10_b/;1;2008;;;;;;;;;;;0.46;0.0439;3.722;0.0;;1.045;89.8;transit
K2-136 Ab-c/EPIC 247589423;http://exoplanet.eu/catalog/k2-136_b/;0;2017;K5V / M7-8V;59.40;0.119;40.0;0.000;3;S;0.74;0.10;in the Hyades Cluster ;;;;;;;;
K2-136 A b;http://exoplanet.eu/catalog/k2-136_b/;1;2017;;;;;;;;;;;;;7.975;0.1;;;89.3;transit
K2-136 A c;http://exoplanet.eu/catalog/k2-136_c/;1;2017;;;;;;;;;;;;;17.307;0.13;;;89.6;transit
K2-136 A d;http://exoplanet.eu/catalog/k2-136_d/;1;2017;;;;;;;;;;;;;25.575;0.14;;;89.4;transit
HIP 107773 Ab B / HD 207229;http://exoplanet.eu/catalog/hip_107773_b/;0;2015;K1III / ?;105.50;0.207;40.0;;1;S;2.42;0.63;;;;;;;;;
HIP 107773 b;http://exoplanet.eu/catalog/hip_107773_b/;1;2015;;;;;;;;;;;1.98;0.72;144.3;0.09;166.0;;;radial velocity
WASP-131 Ab B / HD 122173;http://exoplanet.eu/catalog/wasp-131_b/;0;2016-2020;G0 / ?;250.00;;37.8;;1;S;1.06;0.62;;;;;;;;;
WASP-131 b;http://exoplanet.eu/catalog/wasp-131_b/;1;2016;;;;;;;;;;;0.27;0.0607;5.32202;0.00;;1.22;85.0;transit
HD 164509;http://exoplanet.eu/catalog/HD 20164509_b/;0;2011;G5V / ?;52.00;;36.5;;1;S;1.13;0.42;;;;;;;;;
HD 164509 b;http://exoplanet.eu/catalog/HD%20164509_b/;1;2011;;;;;;;;;;;0.48;0.875;282.4;0.26;324.0;;;radial velocity
HD 41004 Ab B;http://exoplanet.eu/catalog/hd_41004_a_b/;0;2004;K1V / M2;42.50;;23.0;;1;S;0.7;0.4;system with planets on both stars;;;;;;;;
HD 41004 Ab;http://exoplanet.eu/catalog/hd_41004_a_b/;1;2004;;;;;;;;;;;2.54;1.64;963;0.39;97.0;;;radial velocity
HD 41004 Bb;http://exoplanet.eu/catalog/hd_41004_b_b/;1;2004;;;;;;;;;;;18.4;0.0177;1.3236;0.058;149.0;1.06;;radial velocity
HD 196885 Ab B;http://exoplanet.eu/catalog/hd_196885_a_b/;0;2007;F8V / ?;33.00;0.293;23.0;;1;S;1.33;0.55;;;;;;;;;
HD 196885 b;http://exoplanet.eu/catalog/hd_196885_a_b/;1;2007;;;;;;;;;;;2.98;2;1326;0.48;93.2;;;radial velocity
HD 4113 Ab CB;http://exoplanet.eu/catalog/hd_4113_b/;0;2007-2010;G5V / T9 / M0-1V;44.00;0.357;23.0;;2;S;0.99;0.55;we classified HD 4113 C as planet.;;;;;;;;
HD 4113 Ab;http://exoplanet.eu/catalog/hd_4113_b/;1;2007-2011;;;;;;;;;;;1.56;1.28;526.62;0.903;317.7;;;radial velocity
HD 4113 Ac(C) ;http://www.openexoplanetcatalogue.com/planet/HD%204113%20b/;1;2007-2012;;;;;;;;;;"a=20.3-27.1 au; p=31777-48943 d";63.00;23.7;40360.0;0.440;;;;radial velocity
HD 87646 Abc B;http://exoplanet.eu/catalog/hd_87646_a_b/;0;2016;G1IV / ;74.00;;22.0;;2;S;1.12;;;;;;;;;;
HD 87646 b;http://exoplanet.eu/catalog/hd_87646_a_b/;1;2016;;;;;;;;;;;12.40;0.117;13.481;0.05;;;;radial velocity
HD 87646 c;http://exoplanet.eu/catalog/hd_87646_a_c/;1;2016;;;;;;;;;;;57.00;1.58;674;0.5;;;;radial velocity
GJ 86 Ab B;http://exoplanet.eu/catalog/gl_86_b/;0;2000;K1V / DQ6;10.90;0.380;21.0;0.400;1;S;0.8;0.49;;;;;;;;;
GJ 86 b;http://exoplanet.eu/catalog/gj_86_b/;1;2000;;;;;;;;;;;4.01;0.11;15.766;0.046;266.0;;;radial velocity
g Cep Ab B;http://exoplanet.eu/catalog/gamma_cephei_b/;0;2003;K1III-IV / M4;13.79;0.213;20.3;0.360;1;S;1.18;0.32;;;;;;;;;
g Cephei b;http://exoplanet.eu/catalog/gamma_cephei_b/;1;2003;;;;;;;;;;;1.85;2.05;903.3;0.049;94.6;;5.7;radial velocity
HD 176071 A Bb;http://exoplanet.eu/catalog/hd_176051_b/;0;2010;F9V / K1V;14.99;0.415;19.1;0.267;1;S;1.07;0.76;;;;;;;;;
HD 176071 b;http://exoplanet.eu/catalog/hd_176051_b/;1;2010;;;;;;;;;;;1.50;1.76;1016.0;0.000;;;;astrometry
HD 7449 Ab B;http://exoplanet.eu/catalog/hd_7449_a_b/;0;2011;F8V / M4.5;39.00;0.173;18.0;;2;S;1.05;0.22;;;;;;;;;
HD 7449 b;http://exoplanet.eu/catalog/hd_7449_a_b/;1;2011;;;;;;;;;;;0.508;2.38;1255.5;0.920;69.9;;;radial velocity
HD 7449 c;http://exoplanet.eu/catalog/hd_7449_a_c/;1;2011;;;;;;;;;;;19.2;12.7;15441.0;0.000;50.0;;;radial velocity
HD 59686 Ab B;http://exoplanet.eu/catalog/hd_59686_a_b/;0;2003;K2III / ?;96.80;0.218;13.6;0.729;1;S;1.90;0.53;;;;;;;;;
HD 59686 b;http://exoplanet.eu/catalog/hd_59686_a_b/;1;2003;;;;;;;;;;;6.92;1.086;299.36;0.050;;;;radial velocity
OGLE-2013-BLG-0341 Bb;http://exoplanet.eu/catalog/ogle-2013-blg-0341l_b/;0;2014;? / ?;911.00;0.482;12.0;;1;S;0.113;0.121;;;;;;;;;
OGLE-2013-BLG-0341 b;http://exoplanet.eu/catalog/ogle-2013-blg-0341l_b/;1;2014;;;;;;;;;;;0.005;0.702;;;;;;microlensing
FW Tauri AB b;http://exoplanet.eu/catalog/fw_tau_b/;0;2013;M4 / M4;145.00;0.500;11.0;;1;P;0.28;0.28;;;;;;;;;
FW Tau b;http://exoplanet.eu/catalog/fw_tau_b/;1;2013;;;;;;;;;;;10.0;330.0;;;;;;imaging
HD 8673 Ab B;https://arxiv.org/pdf/1502.06630.pdf;0;2010;F7V / M2V;38.25;0.222;10.0;;1;S;1.40;0.40;;;;;;;;;
HD 8673 b ;http://exoplanet.eu/catalog/hd_8673_b/;1;2010;;;;;;;;;;;14.2;3.02;1634.0;0.723;323.4;;;radial velocity
Kepler-420 Ab B / KOI-1257;http://exoplanet.eu/catalog/kepler-420_a_b/;0;2014;G5V / K6V;900.00;0.414;5.3;;1;S;0.99;0.7;;;;;;;;;
Kepler-420 b;http://exoplanet.eu/catalog/kepler-420_a_b/;1;2014;;;;;;;;;;;1.45;0.382;86.648;0.772;141.3;0.94;89.66;transit
Kepler-693 Ab B;http://exoplanet.eu/catalog/kepler-693_b/;0;2016;K / ? ;1002.00;0.165;2.90;0.480;1;S;0.76;0.15;;;;;;;;;
Kepler-693 b;http://exoplanet.eu/catalog/kepler-693_b/;1;2016;;;;;;;;;;;0.232;0.112;15.376;0.140;;0.90;;transit
HD 42936;http://exoplanet.eu/catalog/hd_42936_b/;0;2019;KOV / L;48.90;0.084;1.22;0.594;1;S;0.87;0.08;closest binary with S-Type planet;;;;;;;;
HD 42936 b;https://arxiv.org/ftp/arxiv/papers/1912/1912.10793.pdf;1;2019;;;;;;;;;;;0.00812;0.0662;6.6732;0.14;80.57;;;radial velocity
Kepler-34 AB b;http://exoplanet.eu/catalog/kepler-34_(ab)__b/;0;2012;G / ?;1499.00;0.493;0.2288;0.521;1;P;1.048;1.021;;;;;;;;;
Kepler-34 b;http://exoplanet.eu/catalog/kepler-34%28ab%29__b/;1;2012;;;;;;;;;;;0.22;1.0896;288.822;0.182;;0.764;90.355;transit
Kepler-16 AB b;http://exoplanet.eu/catalog/kepler-16_(ab)_b/;0;2011;K / ?;60.00;0.227;0.2243;0.159;1;P;0.6897;0.2026;;;;;;;;;
Kepler-16 b;http://exoplanet.eu/catalog/kepler-16_%28ab%29_b/;1;2011;;;;;;;;;;;0.333;0.7048;228.776;0.007;318.0;0.7538;90.032;transit
PSR B1620-26 / WD J1623-266 b;http://exoplanet.eu/catalog/psr_b1620-26_(ab)_b/;0;2003;Pulsar / DB;3800.00;0.308;0.2000;0.025;1;P;1.35;0.6;Pulsar+white dwarf;;;;;;;;
PSR B1620-26 b;http://exoplanet.eu/catalog/psr_b1620-26_b/;1;2003;;;;;;;;;;;2.5;23.0;36525.0;;;;;pulsar timing
Kepler-453 AB b;http://exoplanet.eu/catalog/kepler-453_(ab)_b/;0;2014;? / ?;;0.172;0.1848;;1;P;0.944;0.194;;;;;;;;;
Kepler-453 AB b;http://exoplanet.eu/catalog/kepler-453_(ab)_b/;1;2014;;;;;;;;;;;0.03;0.7903;240.503;;;0.55;89.434;transit
Kepler-35 AB b;http://exoplanet.eu/catalog/kepler-35_(ab)_b/;0;2012;G / ?;1645.00;0.477;0.1762;0.1420;1;P;0.888;0.809;;;;;;;;;
Kepler-35 b;http://exoplanet.eu/catalog/kepler-35%28ab%29_b/;1;2012;;;;;;;;;;;0.127;0.6035;131.458;0.042;;0.728;90.76;transit
Kepler-38 AB b;http://exoplanet.eu/catalog/kepler-38_(ab)_b/;0;2012;G4 V / ?;;0.208;0.1470;0.1030;1;P;0.949;0.249;;;;;;;;;
Kepler-38 b;http://exoplanet.eu/catalog/kepler-38_(ab)_b/;1;2012;;;;;;;;;;;0.38;0.4644;105.595;;;0.39;89.446;transit
Kepler-1647 AB b;http://exoplanet.eu/catalog/kepler-1647_(ab)_b/;0;2015;F8 / ?;1134.00;0.443;0.1276;0.1602;1;P;1.22;0.97;p_planet=1008d;;;;;;;;
Kepler-1647 b;http://exoplanet.eu/catalog/kepler-1647_(ab)_b/;1;2015;;;;;;;;;;;1.52;2.72;1107.59;0.058;155.05;1.52;90.09;transit
TOI-1338 AB b;https://www.abstractsonline.com/pp8/#!/8993/presentation/1818;0;2020;? / ?;399.00;0.214;0.1200;0.1600;1;P;1.10;0.30;TESS's first binary system;;;;;;;;
TOI-1338 b;http://exoplanet.eu/catalog/toi-1338/;1;2020;;;;;;;;;;;;0.4;95.0;;;0.62;;transit
Kepler-413 AB b;http://exoplanet.eu/catalog/kepler-413_(ab)_b/;0;2013;K and M dwarf;705.20;0.399;0.1015;;1;P;0.82;0.5432;Wobbly planet. inclination of the planet=4.073deg;;;;;;;;
Kepler-413 b;http://exoplanet.eu/catalog/kepler-413_(ab)_b/;1;2013;;;;;;;;;;;0.211;0.353;66.262;0.118;94.6;0.388;89.929;transit
Kepler-47 AB bc;http://www.openexoplanetcatalogue.com/planet/Kepler-47%20%28AB%29%20b/;0;2012;G / ?;;0.258;0.0836;0.0234;2;P;1.043;0.362;;;;;;;;;
Kepler-47 b;http://exoplanet.eu/catalog/kepler-47_(ab)_b/;1;2012;;;;;;;;;;;;0.2956;49.514;;;0.27;89.59;transit
Kepler-47 c;http://exoplanet.eu/catalog/kepler-47_(ab)_c/;1;2012;;;;;;;;;;;;1.0;303.148;;;0.41;89.826;transit
Kepler-47 d;http://exoplanet.eu/catalog/kepler-47_(ab)_d/;1;2013;;;;;;;;;;;0.05984;0.6992;187.350;0.024;352.00;0.6281;90.000;transit timing
OGLE-2007-BLG-349(AB) b;http://exoplanet.eu/catalog/ogle-2007-blg-349l_(ab)_b/;0;2016;M / M;2760.00;0.423;0.0800;;1;P;0.410;0.300;;;;;;;;;
OGLE-2007-BLG-349 b;http://exoplanet.eu/catalog/ogle-2007-blg-349l_(ab)_b/;1;2016;;;;;;;;;;;0.25;2.59;-;;;;;microlensing
RR Cae AB b;http://exoplanet.eu/catalog/rr_cae_(ab)_b/;0;2012;DAZ8 / dM4;11.00;0.293;0.0076;;1;P;0.44;0.182;;;;;;;;;
RR Cae b;http://exoplanet.eu/catalog/rr_cae_(ab)_b/;1;2012;;;;;;;;;;;4.2;5.3;4350.0;;;;;pulsar timing
NY Vir AB bc;http://exoplanet.eu/catalog/ny_vir_(ab)_b/;0;2011;sDb / M5;;0.233;0.0044;;2;P;0.46;0.14;;;;;;;;;
NY Vir b;http://exoplanet.eu/catalog/ny_vir_(ab)_b/;1;2011;;;;;;;;;;;2.78;3.39;2987.745;;;;;pulsar timing
NY Vir c;http://exoplanet.eu/catalog/ny_vir_(ab)_c/;1;2011;;;;;;;;;;;4.49;7.54;9861.75;;;;;pulsar timing
K2-22 / EPIC 201637175 Ab B;http://exoplanet.eu/catalog/k2-22_b/;0;2015;M0V / M4V;225.00;0.310;0.0043;;1;P;0.60;0.27;is a disintegrating planet orbiting the primary star of a binary ;;;;;;;;
K2-22 b;http://www.openexoplanetcatalogue.com/planet/EPIC%20201637175%20b/;1;2015;;;;;;;;;;;1.4;0.0088;0.3811;;;0.25;;transit
Kepler-451 b AB b / 2M 1938+4603 b;http://www.openexoplanetcatalogue.com/planet/2M%201938%2B4603%20b/;0;2015;sdBV / M;;0.200;0.0041;;1;P;0.48;0.12;;;;;;;;;
Kepler-451 b ;http://exoplanet.eu/catalog/2m_1938+46_b/;1;2015;;;;;;;;;;;1.9;0.92;416.0;;;;;timing
HU Aqr AB b;http://exoplanet.eu/catalog/hu_aqr_(ab)_c/;0;2011;WD / M;;0.185;0.0039;0.000;1;P;0.88;0.2;;;;;;;;;
HU Aqr b;http://exoplanet.eu/catalog/hu_aqr_(ab)_c/;1;2011;;;;;;;;;;;5.9;6.18;5646.0;0.29;351.0;;;pulsar timing
NN Ser AB bc;http://exoplanet.eu/catalog/nn_ser_(ab)_c/;0;2010;DAO1 / M4V;500.00;0.172;0.0039;;2;P;0.535;0.111;;;;;;;;;
NN Ser AB c;http://exoplanet.eu/catalog/nn_ser_(ab)_c/;1;2010;;;;;;;;;;;6.91;5.38;5660.0;0;;;;pulsar timing
NN Ser AB d;http://exoplanet.eu/catalog/nn_ser_(ab)_d/;1;2009;;;;;;;;;;;2.28;3.39;2830.0;0.2;74.0;;;pulsar timing
DP Leo AB b;http://exoplanet.eu/catalog/dp_leo_(ab)_b/;0;2009;DA / M5V;400.00;0.115;0.0027;0.000;1;P;0.69;0.090;p=1.4967h;;;;;;;;
DP Leo b;http://exoplanet.eu/catalog/dp_leo_(ab)_b/;1;2009;;;;;;;;;;;6.05;8.19;10230.0;0.39;282.0;;;pulsar timing
HAT-P-32 Ab B;http://exoplanet.eu/catalog/hat-p-32_b/;0;2011;G-F / ?;320.00;0.254;;;1;S;1.176;0.40;2nd star not visible;;;;;;;;
HAT-P-32 Ab;http://exoplanet.eu/catalog/hat-p-32_b/;1;2011;;;;;;;;;;;0.941;0.0344;2.15;0.163;52.0;2.037;88.7;transit
HAT-P-33 Ab B;http://exoplanet.eu/catalog/hat-p-33_b/;0;2011;F / ?;419.00;0.384;;;1;S;1.403;0.560;2nd star not visible;;;;;;;;
HAT-P-33 Ab;http://exoplanet.eu/catalog/hat-p-33_b/;1;2011;;;;;;;;;;;0.763;0.0503;3.4745;0.148;96.0;1.827;86.7;transit
SR 12 AB c;http://exoplanet.eu/catalog/sr_12_ab_c/;0;2011;K4-M2.5 / ?;125.00;;;;1;P;0.3;;;;;;;;;;
SR 12 AB c;http://exoplanet.eu/catalog/sr_12_ab_c/;1;2011;;;;;;;;;;;13.0;1083.0;;;;;;imaging
Ross 458(AB) c   (DT Vir AB);http://exoplanet.eu/catalog/ross_458_(ab)_c/;0;2010;M2V / M7V;114.00;0.111;;;1;P;0.6;0.075;;;;;;;;;
Ross 458 c ;http://exoplanet.eu/catalog/ross_458_(ab)_c/;1;2010;;;;;;;;;;;8.5;1168.0;;;;;;imaging
HD 106906 AB b;http://exoplanet.eu/catalog/hd_106906_(ab)_b/;0;2013;F5V / F5V;92.00;0.500;;;1;P;1.3;1.3;circumbinary disk. Bailey 2014. Lagrange 2016;;;;;;;;
HD 106906 AB b;http://exoplanet.eu/catalog/hd_106906_(ab)_b/;1;2013;;;;;;;;;;;11.0;650.0;;;;;;imaging
ROXs 42AB b;http://exoplanet.eu/catalog/roxs_42b_(ab)_b/;0;2013;MO D / ?;135.00;0.288;;;1;P;0.89;0.36;in a star-forming region;;;;;;;;
ROXs 42 b;http://exoplanet.eu/catalog/roxs_42b_(ab)_b/;1;2013;;;;;;;;;;;10.0;140.0;;;;;;imaging
