System;Link;Star/Planet;Discovery;Spectral Type;Distance [pc];Mass Ratio;a_binary [au];e_sec;Number of Planets;Planet Motion Type;m1 [m_sun];m2  [m_sun];Comments;Minimum Mass [M_J];Semi-major axis [au];Orbital Period [d];Eccentricity;Argument of Perihelion [deg];Radius [R_J];Inclination [deg];Detection Method
Ups And b;http://exoplanet.eu/catalog/ups_and_b/;1;1996;;;;;;;;;;;0.62;0.059;4.6171;0.013;51.0;;30.0;radial velocity
Ups And c;http://exoplanet.eu/catalog/ups_and_c/;1;1999;;;;;;;;;;;1.8;0.861;237.7;0.24;250.0;;8.0;radial velocity
Ups And d;http://exoplanet.eu/catalog/ups_and_d/;1;1999;;;;;;;;;;;10.19;2.55;1302.61;0.274;240.8;;24.0;radial velocity
Ups And e;http://exoplanet.eu/catalog/ups_and_e/;1;2010;;;;;;;;;;;1.059;5.2456;3848.86;0.005;7.3;;;radial velocity
HD 147379 b / EW Draconis;http://exoplanet.eu/catalog/hd_147379_b/;0;2018;M1V / M3V;10.74;0.408;690.0;;1;S;0.58;0.40;separation of 1.07 arcmin;;;;;;;;
HD 147379 b;http://exoplanet.eu/catalog/hd_147379_b/;1;2018;;;;;;;;;;;0.0777;0.3193;86.54;0.010;93.0;;;radial velocity
HD 188015 Ab B;http://exoplanet.eu/catalog/hd_188015_b/;0;2004;G5IV / ?;52.60;0.161;684.0;;1;S;1.09;0.21;;;;;;;;;
HD 188015 b;http://exoplanet.eu/catalog/hd_188015_b/;1;2004;;;;;;;;;;;1.26;1.19;456.46;0.15;293;;;radial velocity
HD 75289 Ab B (HR3497);http://exoplanet.eu/catalog/hd_75289_b/;0;1999;G0V / ?;28.94;0.118;620.0;;1;S;1.05;0.14;HR3497 AB (r. dwarf);;;;;;;;
HD 75289 b;http://exoplanet.eu/catalog/hd_75289_b/;1;1999;;;;;;;;;;;0.47;0.046;3.5098;0.021;136.3;1.03;;radial velocity
HD 99492 / 83Leonis AB bc;http://exoplanet.eu/catalog/hd_99492_b/;0;2005-2010;G6-K0IV / K2V;18.00;0.454;515.0;;2;S;1.0;0.83;;;;;;;;;
HD 99492 / 83 Leonis b;http://exoplanet.eu/catalog/hd_99492_b/;1;2005;;;;;;;;;;;0.087;0.122;17.1668;0.13;;0.357;;radial velocity
HD 99492 / 83 Leonis c;http://exoplanet.eu/catalog/hd_99492_c/;1;2010;;;;;;;;;;;0.359;5.4;13.1;0.1;;0.804;;radial velocity
NGTS-3Ab B;http://exoplanet.eu/catalog/ngts-3a_b/;0;2018;G6V / K1V;1010.00;0.464;500.0;;1;S;1.017;0.88;a_bin > 500 AU;;;;;;;;
NGTS-3Ab B;http://exoplanet.eu/catalog/ngts-3a_b/;1;2018;;;;;;;;;;;2.380;0.023;1.675;0.0;;1.480;89.560;transit
HD 4732 Abc B;http://exoplanet.eu/catalog/hd_4732_a_b/;0;2013-2019;K0iV / ?;56.50;0.234;495.0;;2;S;1.74;0.53;;;;;;;;;
HD 4732 b;http://exoplanet.eu/catalog/hd_4732_a_b/;1;2013;;;;;;;;;;;2.370;1.190;360.200;0.13;85.00;;;radial velocity
HD 4732 c;http://exoplanet.eu/catalog/hd_4732_a_c/;1;2013;;;;;;;;;;;2.370;4.60;2732.0;0.23;118.00;;;radial velocity
